"PUBID","YSCH-37000","YHEA-1900","YEXP-1500","YEXP-2000","KEY!SEX","KEY!BDATE_M","KEY!BDATE_Y","PC8-092","PC9-050","PC11-008","PC11-014","CV_HH_POV_RATIO","CV_YTH_REL_HH_AGE_12","CV_YTH_REL_HH_AGE_2","CV_YTH_REL_HH_AGE_6","CV_HH_UNDER_18","CV_SAMPLE_TYPE","CV_HGC_BIO_DAD","CV_HGC_BIO_MOM","KEY!RACE_ETHNICITY","TRANS_GPA","CVC_YTH_REL_HH_AGE2_YCHR","CVC_YTH_REL_HH_AGE6_YCHR","CVC_YTH_REL_HH_AGE12_YCHR","CVC_SAT_MATH_SCORE_2007","CVC_SAT_VERBAL_SCORE_2007","CVC_ACT_SCORE_2007","CVC_HIGHEST_DEGREE_EVER"
1,1,-4,100,100,2,9,1981,0,1,100,90,-3,1,1,1,1,1,16,8,4,85,-4,-4,-4,4,3,-4,4
2,2,-4,-4,-4,1,7,1982,-4,-4,-4,-4,-4,-4,-4,-4,2,1,17,15,2,-3,1,1,2,4,4,-4,2
3,3,-4,-4,-4,2,9,1983,1,1,-4,-4,583,4,2,4,1,1,-3,12,2,-4,-4,-4,-4,2,2,-4,4
4,3,-4,100,100,2,2,1981,1,3,100,85,108,4,4,4,1,1,12,12,2,74,1,1,4,-4,-4,-4,2
5,2,-4,-4,-4,1,10,1982,0,1,-4,-4,-3,1,1,1,2,1,12,12,2,75,-4,-4,-4,2,6,-4,2
6,2,-4,-4,-4,2,1,1982,0,3,-4,-4,-3,4,4,4,3,1,-3,12,2,55,-4,-4,-4,2,2,-4,2
7,2,-4,-4,-4,1,4,1983,0,3,-4,-4,-3,4,4,4,3,1,-3,12,2,-4,-4,-4,-4,-3,-3,-4,1
8,1,-4,100,100,2,6,1981,0,1,100,100,-3,1,1,1,3,1,6,12,4,81,-4,-4,-4,5,5,-4,5
9,1,-4,-4,-4,1,10,1982,0,1,-4,-4,-3,1,1,1,3,1,6,12,4,85,-4,-4,-4,4,2,-4,5
10,1,-4,-4,-4,1,3,1984,0,1,-4,-4,-3,1,1,1,3,1,6,12,4,90,1,1,1,-4,-4,-3,4
11,2,-4,-4,-4,2,6,1982,0,1,-4,-4,198,4,4,4,2,1,12,14,2,80,-4,-4,-4,-4,-4,4,4
12,2,-4,95,95,1,10,1981,0,1,100,50,0,4,2,2,2,1,-3,12,2,63,-4,-4,-4,-4,-4,-4,1
13,2,-4,-4,-4,1,11,1984,-4,-4,-4,-4,-4,-4,-4,-4,3,1,-3,6,2,59,-3,-3,-3,-4,-4,-4,1
14,2,-4,100,70,1,7,1980,0,1,100,50,0,1,1,1,1,1,12,12,2,-4,-4,-4,-4,-4,-4,6,1
15,2,-4,-4,-4,2,1,1983,-4,-4,-4,-4,-4,-4,-4,-4,2,1,13,12,2,3,1,1,1,-3,-3,-3,2
16,3,-4,-4,-4,1,2,1982,0,1,-4,-4,120,4,2,4,1,1,10,11,2,60,-4,-4,-4,3,3,-4,3
17,2,-4,95,90,2,11,1981,0,3,100,50,14,4,4,4,4,1,-3,14,2,-3,-4,-4,-4,-4,-4,-4,1
18,3,-4,-4,-4,1,2,1982,0,3,-4,-4,0,4,4,4,5,1,10,15,1,-4,-4,-4,-4,-4,-4,-4,1
19,4,-4,-4,-4,1,4,1984,0,0,-4,-4,0,4,4,4,5,1,10,15,1,19,-4,-4,-4,3,5,-4,-3
20,2,-4,100,100,1,12,1980,0,3,100,100,-3,4,4,4,2,1,10,11,1,-4,-4,-4,-4,-4,-4,-4,1
21,2,-4,-4,-4,1,8,1982,0,1,-4,-4,0,4,2,2,2,1,11,13,2,56,-4,-4,-4,-4,-4,-4,1
22,2,-4,-4,-4,1,6,1982,0,3,-4,-4,-3,4,2,2,1,1,12,11,2,-4,1,1,4,-3,-3,-4,2
23,3,-4,-4,-4,2,1,1983,0,3,-4,-4,-3,4,4,4,2,1,10,10,2,76,-4,-4,-4,2,2,-4,4
24,2,-4,-4,-4,1,6,1984,0,3,-4,-4,-3,4,4,4,4,1,5,7,2,-4,2,2,2,-4,-4,-4,0
25,2,-4,-4,-4,2,3,1983,0,1,-4,-4,0,1,1,1,3,1,12,12,2,41,-4,-4,-4,-4,-4,-4,1
26,2,-4,100,100,1,10,1980,0,1,100,75,-3,2,2,2,2,1,-3,12,1,2,-4,-4,-4,-3,-3,-4,0
27,2,-4,100,80,1,5,1981,0,3,75,20,-3,4,2,2,4,1,8,10,1,-4,-4,-4,-4,-4,-4,-4,0
28,2,-4,-4,-4,2,11,1983,0,1,-4,-4,82,2,4,4,2,1,12,12,1,74,-4,-4,-4,-4,-4,-4,4
29,2,-4,-4,-4,2,1,1983,0,1,-4,-4,-3,1,1,1,2,1,-3,-3,4,-4,-4,-4,-4,-4,-4,-4,0
30,1,-4,-3,-3,1,6,1981,0,1,-4,-4,-3,1,1,1,1,1,-3,-3,4,-4,-4,-4,-4,-4,-4,-4,0
31,2,-4,-4,-4,1,7,1982,-4,-4,-4,-4,-4,-4,-4,-4,1,1,12,12,4,91,1,1,1,4,4,-4,4
32,1,-4,100,95,2,7,1981,-4,-4,-4,-4,-4,-4,-4,-4,1,1,16,16,4,-3,1,1,1,4,3,-4,4
33,1,-4,100,75,2,12,1980,0,1,100,50,-3,1,1,1,1,1,16,14,4,96,-4,-4,-4,5,5,-4,4
34,3,-4,-4,-4,2,12,1984,0,1,-4,-4,60,1,1,1,1,1,9,16,4,-4,-4,-4,-4,2,2,-4,4
35,4,-3,-4,-4,1,1,1983,-4,-4,-4,-4,-4,-4,-4,-4,2,1,-3,-3,4,81,1,1,1,4,4,-4,4
36,3,-4,100,75,2,8,1980,0,1,100,50,255,1,1,1,2,1,16,15,4,72,-4,-4,-4,-4,-4,-4,3
37,2,-4,5,90,2,11,1980,0,1,-2,-2,299,5,5,5,2,1,11,-3,4,78,-4,-4,-4,6,4,-4,4
38,1,-4,100,90,2,9,1981,0,1,-2,-2,299,5,5,5,2,1,11,-3,4,72,-4,-4,-4,-4,-4,-4,4
39,2,-4,95,85,1,2,1980,0,0,90,90,-3,1,1,1,2,1,-3,-3,2,-4,-4,-4,-4,3,3,-4,4
40,4,-4,-4,-4,2,5,1984,-4,-4,-4,-4,-4,-4,-4,-4,1,1,12,12,4,-4,1,1,1,1,2,-4,2
41,1,-4,-4,-4,2,1,1983,-4,-4,-4,-4,-4,-4,-4,-4,3,1,12,12,4,83,1,1,1,5,6,-4,4
42,1,-4,-4,-4,1,8,1983,-4,-4,-4,-4,-4,-4,-4,-4,2,1,-3,-3,4,-4,1,1,1,4,3,-4,4
43,1,-4,80,-2,2,10,1981,0,3,80,-2,-3,4,4,4,1,1,-4,-3,1,67,-4,-4,-4,-4,-4,-4,1
44,1,-4,100,100,1,12,1981,0,0,50,75,0,1,1,1,2,1,-3,-3,2,-4,-4,-4,-4,-4,-4,-4,2
45,1,-4,-4,-4,2,2,1984,0,3,-4,-4,-3,4,4,4,6,1,-4,8,1,63,-4,-4,-4,-4,-4,-4,3
46,3,-4,-4,-4,1,2,1984,0,3,-4,-4,-3,4,4,4,6,1,-4,8,1,-4,-4,-4,-4,1,-3,-4,1
47,2,-4,-4,-4,2,9,1982,0,3,-4,-4,44,8,8,8,2,1,-4,11,1,-4,4,8,8,4,4,6,2
48,3,-4,-4,-4,2,7,1983,0,3,-4,-4,44,8,8,8,2,1,-4,11,1,-4,8,8,8,3,3,-3,4
49,1,-4,-4,-4,2,12,1982,0,3,-4,-4,-3,4,2,2,1,1,-3,12,1,72,-4,-4,-4,-4,-4,-4,2
50,3,-4,-4,-4,2,2,1983,0,1,-4,-4,-3,4,4,4,2,1,-4,12,1,-4,-4,-4,-4,-4,-4,-4,1
51,2,-4,100,75,1,6,1980,0,3,100,-2,20,4,4,4,4,1,-4,12,1,-3,-4,-4,-4,-4,-4,-3,2
52,2,-4,-4,-4,1,12,1983,0,3,-4,-4,20,4,4,4,4,1,-4,12,1,63,-4,-4,-4,-4,-4,-4,2
53,1,-4,-4,-4,2,4,1984,0,3,-4,-4,-3,4,4,4,2,1,12,12,1,74,-4,-4,-4,-4,-4,-4,2
54,1,-4,-4,-4,2,12,1984,0,3,-4,-4,-3,8,4,4,3,1,-4,14,1,-4,4,4,8,-3,-3,-4,3
55,1,-4,100,100,2,2,1981,0,1,100,100,-3,1,1,1,3,1,12,10,2,-4,-4,-4,-4,4,2,-4,4
56,1,-4,-4,-4,2,2,1982,0,1,-4,-4,696,1,1,1,2,1,16,18,4,87,-4,-4,-4,5,5,-4,5
57,1,-4,-4,-4,1,12,1982,0,3,-4,-4,0,4,4,4,3,1,12,12,1,-3,-4,-4,-4,-4,-4,-4,2
58,1,-4,-4,-4,1,11,1983,1,1,-4,-4,160,4,4,4,2,1,12,12,1,-4,-4,-4,-4,-4,-4,-4,3
59,2,-4,100,100,2,4,1981,-2,3,100,100,181,8,-1,8,1,1,-4,16,1,81,8,8,8,3,4,5,3
60,1,-4,-4,-4,1,1,1984,0,1,-4,-4,302,4,8,8,3,1,-4,14,4,86,-4,-4,-4,3,3,-4,5
61,2,-4,-4,-4,2,5,1983,0,1,-4,-4,-3,4,2,2,2,1,12,12,1,69,-4,-4,-4,-4,-4,4,3
62,1,-4,100,95,1,3,1980,0,1,100,100,943,1,1,1,2,1,14,14,1,2,-4,-4,-4,4,5,-4,4
63,2,-4,-4,-4,2,10,1984,1,1,-4,-4,943,1,1,1,2,1,14,14,1,2,-4,-4,-4,5,5,3,4
64,2,-4,100,50,1,3,1980,-4,-4,-4,-4,317,-4,-4,-4,1,1,12,15,1,63,1,1,1,3,3,-4,2
65,3,-4,-4,-4,1,4,1984,0,1,-4,-4,-3,1,1,1,3,1,-3,95,1,2,-4,-4,-4,-4,-4,-4,4
66,1,-4,100,100,1,10,1980,0,1,100,100,-3,8,4,8,3,1,12,-3,1,91,5,5,5,3,2,-4,7
67,2,-4,100,100,1,11,1980,0,1,100,100,-3,4,4,4,3,1,12,18,1,73,-4,-4,-4,3,2,-4,6
68,3,-4,100,100,1,1,1981,0,1,100,100,-3,8,8,8,3,1,12,-4,1,62,1,1,1,2,2,-4,2
69,2,-4,100,100,2,7,1981,0,1,100,100,-3,1,1,1,2,1,12,16,1,76,1,1,1,4,4,-4,4
70,3,-4,-4,-4,1,8,1982,0,1,-4,-4,-3,1,1,1,2,1,12,16,1,71,-4,-4,-4,3,4,-4,4
71,1,-4,100,100,1,1,1980,0,1,100,100,241,8,1,8,1,1,14,14,1,79,1,5,5,2,2,-4,2
72,2,-4,-4,-4,2,4,1982,-4,-4,-4,-4,-4,-4,-4,-4,2,1,12,11,1,-4,1,1,1,6,3,-4,3
73,2,-4,-4,-4,1,10,1984,-4,-4,-4,-4,-4,-4,-4,-4,2,1,12,11,1,73,1,1,1,-4,-4,-4,2
74,1,-4,-4,-4,1,7,1983,0,1,-4,-4,-3,1,1,1,2,1,-3,-3,4,-4,-4,-4,-4,5,5,-4,7
75,2,-4,-4,-4,1,1,1982,-4,-4,-4,-4,-4,-4,-4,-4,2,1,8,-3,4,70,5,5,5,-4,-4,-4,2
76,1,-4,-4,-4,1,1,1982,-4,-4,-4,-4,-4,-4,-4,-4,2,1,8,-3,4,71,5,5,5,-4,-4,-4,2
